starch_mixing_tank23top_ply,pulp_to_mixing_tank23,power_power_station24,recycled_liquid_top_ply,sum_bleached_pulp,flow_after_machine_chest21,steam_pressure_group1,steam_pressure_group2,level_condensate_bucket1,level_condensate_bucket1_valve_position,level_condensate_bucket2_valve_position,steam_group3_pressure,steam_group4under_pressure,steam_pressure4_over,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket2,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,total_starch_paper_machine2,steamflow
25.914,157.17,233.33,1.276,6.3833,2578.9,60.689,159.77,325.87,31.366,23.633,186.03,200.5,201.05,201.17,200.51,201.3,162.5,55,10.389,147.81,47.115,17.261
26.763,161.75,233.05,1.276,6.6762,2646.1,73.605,169.4,326.71,33.765,24.643,199.16,213.66,212.83,213.72,214.05,213.44,170.25,67.25,10.414,152.97,47.088,17.48
26.804,161.44,232.26,1.276,6.6132,2642.7,77.416,170.44,322.81,36.58,24.643,222.11,237.39,236.93,236.85,237.44,237.25,172.56,72.125,10.341,152.7,47.088,17.581
25.746,150.85,229.21,1.231,6.1174,2474.8,72.376,170.74,346.28,36.58,24.091,217.04,231.12,232.7,232.77,230.59,231.94,172,64.89,9.8376,141.76,46.164,17.508
24.464,152.17,227.31,1.1784,6.2239,2484.4,70.186,171.12,328.06,35.346,26.725,219.11,234.93,234.56,235.38,234.51,234.71,172,67.125,9.7463,142.15,44.301,16.114
24.717,152.17,228,1.1784,6.0803,2484.2,81.687,170.2,323.41,36.937,31.559,231.49,246.45,245.78,246.04,246.46,246.77,171.88,75.75,9.7388,141.19,44.4,16.447
24.71,152.21,228.55,1.1784,6.1729,2481.6,84.309,169.93,322.62,37.848,32.286,244.71,259.72,259.73,259.73,259.2,259.77,172.95,81.875,9.6486,140.8,44.158,16.49
24.71,151.61,228.56,1.1706,6.1686,2481.5,78.295,169.91,326.39,37.073,28.975,238.25,253.53,254.17,252.88,253.63,253.61,173.5,73.25,9.7032,140.45,44.299,16.766
24.833,150.97,228.19,1.1706,6.1686,2479.4,76.05,170.01,326.54,37.402,29.117,236.09,250.81,251.23,251.34,250.77,251.51,173.5,72.625,9.7648,139.71,44.54,16.747
24.186,151.35,226.4,1.1706,6.1612,2479.4,73.1,169.97,326.59,36.066,27.498,232.86,248.22,247.65,247.97,248.54,247.76,173.5,72.75,9.7258,138.85,43.687,16.492
24.41,151.78,229.53,1.1706,6.1182,2477.2,71.568,170.91,329.15,36.961,26.827,232.2,246.98,246.65,246.21,246.9,246.86,173.5,68.375,9.7445,138.23,44.235,16.574
24.462,151.45,229.34,1.1706,6.0126,2482.7,72.299,169.74,321.14,34.868,26.827,231.98,247.23,246.27,246.27,246.96,246.86,173.5,68.875,9.7509,138.55,44.396,16.61
24.455,151.37,228.15,1.2086,6.213,2483.3,73.422,169.46,323.94,35.488,26.823,232.53,247.73,248.42,248.07,247.92,247.81,173.5,69.875,9.7049,138.83,43.936,16.61
24.455,150.49,228.13,1.1636,6.147,2476.9,73.883,170.43,323.96,36.376,25.524,233.34,248.96,249.29,248.44,248.98,249.13,173.5,69.5,9.7069,139.46,43.936,16.257
24.641,151.73,227.92,1.1636,6.0315,2479.3,70.396,169.95,324.98,36.638,25.676,230.04,244.97,249.29,245.73,244.73,249.13,173.5,69.094,9.7451,140.23,43.89,16.631
24.641,151.44,226.4,1.1636,6.2005,2479.1,75.021,169.89,322.21,33.868,25.676,234.52,249.96,249.65,250.22,250.34,249.62,173.5,72.976,9.7349,140.34,44.085,16.685
24.689,153.21,228.63,1.1706,6.1233,2508.8,76.576,170.18,327.58,35.906,26.76,236.26,252.34,251.74,251,251.78,251.9,175.52,75.375,9.742,140.62,44.357,16.575
23.948,148.04,229.38,1.1257,5.9765,2437.8,77.048,169.64,327.58,35.906,26.642,237.59,251.71,252.15,252.18,251.81,251.93,175.38,74.675,9.6825,136.78,44.352,16.57
23.728,145.92,226.27,1.1257,5.7947,2392.8,71.994,169.96,327.62,36.024,26.635,232.66,251.45,251.67,251.77,251.51,251.64,174.5,70.875,9.7522,136.41,44.236,16.59
23.991,148.91,226.73,1.1257,5.9417,2426.3,71.994,170.09,327,35.938,25.373,236.32,251.45,247.37,251.77,247.17,247.19,174.45,73.04,9.7118,135.95,44.226,16.79
24.038,148.37,227.51,1.1257,5.97,2430.2,71.888,169.93,322.58,34.25,24.357,231.09,246.58,247.37,246.26,247.06,246.83,171.92,68.5,9.7164,136.98,44.242,16.46
24.108,148.13,229.36,1.1666,5.9799,2429.7,74.704,170.63,323.76,34.334,26.74,234.93,249.5,250.22,249.62,249.81,249.52,173.5,71.5,9.7286,138.44,44.171,16.676
